idCustomer,Recency,Frequency,Monetary,R_score,F_score,M_score,R_label,F_label,M_label,Estado_1,Estado_2,Estado_3,Estado_4,Estado_5,Estado_6,Estado_7,Estado_8,Estado_9,Estado_10,Estado_11,Estado_12
24,35.0,18,1103.94,1,2,2,Menos reciente,Baja frecuencia,Bajo gasto,Activo,Recompra,Recompra,Recompra,Recompra,Recompra,Recompra,Desercion,Repite desersion,Regreso,Recompra,Desercion
25,5.0,25,1501.81,4,4,4,Más reciente,Más frecuente,Mayor gasto,Activo,Recompra,Desercion,Regreso,Recompra,Recompra,Recompra,Recompra,Recompra,Recompra,Recompra,Recompra
26,20.0,20,1186.54,2,3,3,Poco reciente,Moderada frecuencia,Moderado gasto,Activo,Recompra,Recompra,Recompra,Recompra,Recompra,Recompra,Recompra,Recompra,Recompra,Recompra,Recompra
27,28.0,22,1394.24,1,3,4,Menos reciente,Moderada frecuencia,Mayor gasto,Activo,Recompra,Recompra,Recompra,Desercion,Regreso,Recompra,Recompra,Recompra,Recompra,Recompra,Recompra
28,20.0,19,1140.86,2,2,2,Poco reciente,Baja frecuencia,Bajo gasto,Activo,Recompra,Desercion,Regreso,Recompra,Desercion,Regreso,Recompra,Desercion,Regreso,Desercion,Regreso
29,37.0,23,1451.31,1,4,4,Menos reciente,Más frecuente,Mayor gasto,Activo,Recompra,Recompra,Recompra,Recompra,Recompra,Recompra,Recompra,Recompra,Recompra,Recompra,Desercion
30,20.0,17,1050.52,2,1,1,Poco reciente,Menos frecuente,Menor gasto,Activo,Recompra,Desercion,Regreso,Recompra,Recompra,Desercion,Regreso,Recompra,Recompra,Recompra,Recompra
31,6.0,20,1279.59,4,3,3,Más reciente,Moderada frecuencia,Moderado gasto,Activo,Desercion,Repite desersion,Regreso,Desercion,Regreso,Desercion,Regreso,Recompra,Recompra,Recompra,Recompra
32,1.0,22,1317.93,4,3,3,Más reciente,Moderada frecuencia,Moderado gasto,Activo,Recompra,Recompra,Desercion,Regreso,Recompra,Recompra,Recompra,Desercion,Regreso,Recompra,Recompra
33,8.0,19,1097.03,3,2,2,Moderadamente reciente,Baja frecuencia,Bajo gasto,Activo,Recompra,Recompra,Recompra,Recompra,Recompra,Desercion,Repite desersion,Regreso,Recompra,Recompra,Recompra
34,8.0,22,1356.74,3,3,4,Moderadamente reciente,Moderada frecuencia,Mayor gasto,Activo,Recompra,Desercion,Repite desersion,Repite desersion,Regreso,Recompra,Desercion,Regreso,Recompra,Recompra,Recompra
35,9.0,18,1114.95,3,2,2,Moderadamente reciente,Baja frecuencia,Bajo gasto,Activo,Recompra,Recompra,Recompra,Recompra,Recompra,Desercion,Regreso,Recompra,Desercion,Regreso,Recompra
36,32.0,17,1076.88,1,1,2,Menos reciente,Menos frecuente,Bajo gasto,Activo,Desercion,Regreso,Desercion,Regreso,Recompra,Recompra,Recompra,Desercion,Regreso,Recompra,Desercion
37,4.0,20,1178.09,4,3,2,Más reciente,Moderada frecuencia,Bajo gasto,Null,Activo,Desercion,Regreso,Recompra,Recompra,Recompra,Recompra,Recompra,Recompra,Recompra,Recompra
38,31.0,13,856.65,1,1,1,Menos reciente,Menos frecuente,Menor gasto,Activo,Recompra,Desercion,Regreso,Desercion,Regreso,Desercion,Regreso,Recompra,Recompra,Recompra,Desercion
39,13.0,25,1561.71,3,4,4,Moderadamente reciente,Más frecuente,Mayor gasto,Null,Activo,Recompra,Recompra,Recompra,Recompra,Recompra,Recompra,Recompra,Desercion,Regreso,Recompra
40,7.0,20,1185.94,3,3,3,Moderadamente reciente,Moderada frecuencia,Moderado gasto,Activo,Recompra,Recompra,Recompra,Recompra,Desercion,Regreso,Recompra,Recompra,Recompra,Desercion,Regreso
41,38.0,20,1206.89,1,3,3,Menos reciente,Moderada frecuencia,Moderado gasto,Activo,Recompra,Recompra,Desercion,Regreso,Recompra,Recompra,Recompra,Recompra,Recompra,Recompra,Desercion
42,3.0,26,1545.13,4,4,4,Más reciente,Más frecuente,Mayor gasto,Activo,Recompra,Recompra,Recompra,Recompra,Desercion,Regreso,Recompra,Recompra,Recompra,Recompra,Recompra
43,4.0,23,1446.01,4,4,4,Más reciente,Más frecuente,Mayor gasto,Activo,Recompra,Recompra,Recompra,Recompra,Recompra,Recompra,Recompra,Recompra,Desercion,Regreso,Recompra
44,19.0,19,1136.9,2,2,2,Poco reciente,Baja frecuencia,Bajo gasto,Activo,Recompra,Recompra,Desercion,Regreso,Recompra,Recompra,Recompra,Recompra,Recompra,Desercion,Regreso
45,45.0,17,1029.66,1,1,1,Menos reciente,Menos frecuente,Menor gasto,Null,Activo,Recompra,Recompra,Desercion,Regreso,Recompra,Desercion,Regreso,Recompra,Recompra,Desercion
46,51.0,16,906.86,1,1,1,Menos reciente,Menos frecuente,Menor gasto,Activo,Recompra,Recompra,Recompra,Recompra,Desercion,Repite desersion,Regreso,Recompra,Recompra,Recompra,Desercion
47,13.0,14,824.4,3,1,1,Moderadamente reciente,Menos frecuente,Menor gasto,Activo,Recompra,Desercion,Regreso,Recompra,Recompra,Recompra,Desercion,Repite desersion,Regreso,Recompra,Recompra
48,1.0,20,1240.81,4,3,3,Más reciente,Moderada frecuencia,Moderado gasto,Null,Activo,Recompra,Desercion,Regreso,Recompra,Recompra,Recompra,Recompra,Recompra,Recompra,Recompra
49,3.0,19,1145.9,4,2,2,Más reciente,Baja frecuencia,Bajo gasto,Activo,Recompra,Recompra,Recompra,Recompra,Recompra,Recompra,Desercion,Regreso,Recompra,Desercion,Regreso
50,15.0,19,1189.59,2,2,3,Poco reciente,Baja frecuencia,Moderado gasto,Activo,Recompra,Recompra,Recompra,Desercion,Regreso,Recompra,Recompra,Recompra,Recompra,Recompra,Recompra
